,0
Armenia,Armenia (Quindío)
Australia,N/A
Barbosa,Barbosa (Santander)
Barrancabermeja,Barrancabermeja (Santander)
Barranquilla,Barranquilla (Atlántico)
Bie,
Bogota,Bogotá D.C.
Bogotà,Bogotá D.C.
Bogotá,Bogotá D.C.
Bogotá Dc,Bogotá D.C.
Boyaca,Boyacá (Boyacá)
Boyacá,Boyacá (Boyacá)
Bucaramanga,Bucaramanga (Santander)
Cajicá,Cajicá (Cundinamarca)
Catacamas,Catacamas (Honduras)
Chia,Chía (Cundinamarca)
Colombia,N/A
Cucuta,Cúcuta (Norte De Santander)
Cucuta Norte De Santander,Cúcuta (Norte De Santander)
Combita,Cómbita (Boyacá)
Cómbita,Cómbita (Boyacá)
Diutama,Duitama (Boyacá)
Duitama,Duitama (Boyacá)
Duitama (Boyacá),Duitama (Boyacá)
Duitama -Boyaca,Duitama (Boyacá)
Duitama Boyaca,Duitama (Boyacá)
El Carmen,El Carmen (Norte De Santander)
"El Tarra, Norte De Santander",El Tarra (Norte De Santander)
Facatativá,Facatativá (Cundinamarca)
Floridablanca,Floridablanca (Santander)
Funza,Funza (Cundinamarca)
Fusagasuga,Fusagasuga (Cundinamarca)
"Gold Coast, Australia",Gold Coast (Australia)
Guanajuato,Guanajuato (México)
Guatemala,Ciudad de Guatemala (Guatemala)
Guateque,Guateque (Boyacá)
Kazan,Kazan (Rusia)
La Capilla Boyaca,La Capilla (Boyacá)
Medellín,Medellín (Antioquia)
Nobsa,Nobsa (Boyacá)
Paipa,Paipa (Boyacá)
Paipa Boyaca,Paipa (Boyacá)
Paz De Rio,Paz De Río (Boyacá)
Paz De Rio Boyacá,Paz De Río (Boyacá)
Paz De Río,Paz De Río (Boyacá)
Pazderio,Paz De Río (Boyacá)
Puerto Boyacá,Puerto Boyacá (Boyacá)
Riobamba,Riobamba (Ecuador)
Rusia,Rusia
Russia,Rusia
Samaca,Samacá (Boyacá)
Samacá,Samacá (Boyacá)
San Juan Bosco,San Juan Bosco (Boyacá)
Santa Rosa De Viterbo,Santa Rosa De Viterbo (Boyacá)
Socha,Socha (Boyacá)
Sogamoso,Sogamoso (Boyacá)
"Sogamoso, Boyacá",Sogamoso (Boyacá)
Tasco,Tasco (Boyacá)
Tenjo Cundinamarca,Tenjo (Cundinamarca)
Tibasosa,Tibasosa (Boyacá)
Tu Jefe,
Tu Ja,Tunja (Boyacá)
Tunja,Tunja (Boyacá)
Tunja Boyaca,Tunja (Boyacá)
"Tunja, Boyaca",Tunja (Boyacá)
Túnja,Tunja (Boyacá)
Ventaqueda,Ventaquemada (Boyacá)
Ventaquemada,Ventaquemada (Boyacá)
Villanueva Casanare,Villanueva (Casanare)
Villavicencio,Villavicencio (Meta)
Yopal,Yopal (Casanare)
Yopal Casanare,Yopal (Casanare)
,
