P32-P13c;P37-P33c;P38-P33c;P43-P12c;P47-P4c;P48-P44c
Baja;Baja;Normal;Baja;Baja;Baja
Baja;Alta;Alta;Baja;Baja;Baja
Baja;Baja;Alta;Baja;Alta;Alta
Alta;Baja;Alta;Baja;Baja;Baja
Alta;Baja;Baja;Baja;Alta;Alta
Alta;Baja;Alta;Baja;Alta;Alta
Baja;Alta;Baja;Alta;Baja;Baja
Baja;Alta;Baja;Alta;Alta;Alta
Baja;Baja;Alta;Baja;Baja;Baja
Alta;Baja;Alta;Alta;Baja;Baja
Baja;Baja;Alta;Alta;Baja;Baja
Alta;Alta;Baja;Baja;Alta;Baja
Baja;Baja;Baja;Alta;Baja;Baja
Baja;Normal;Baja;Alta;Baja;Baja
Baja;Baja;Baja;Alta;Baja;Baja
Baja;Baja;Alta;Alta;Normal;Baja
Baja;Alta;Alta;Alta;Alta;Alta
Baja;Baja;Baja;Alta;Baja;Baja
Baja;Normal;Normal;Baja;Baja;Baja
Baja;Baja;Baja;Baja;Baja;Baja
Alta;Alta;Baja;Baja;Baja;Baja
Alta;Baja;Alta;Baja;Alta;Alta
Baja;Baja;Baja;Alta;Alta;Alta
Baja;Baja;Alta;Baja;Baja;Baja
Baja;Alta;Baja;Alta;Alta;Alta
Baja;Baja;Alta;Alta;Baja;Baja
Alta;Baja;Baja;Baja;Baja;Baja
Baja;Baja;Baja;Baja;Alta;Alta
Baja;Baja;Baja;Baja;Baja;Baja
Alta;Baja;Alta;Baja;Alta;Alta
Baja;Baja;Alta;Alta;Baja;Baja
Alta;Normal;Alta;Baja;Normal;Baja
Baja;Alta;Baja;Alta;Alta;Alta
Baja;Alta;Baja;Alta;Alta;Alta
Alta;Alta;Alta;Baja;Alta;Alta
Baja;Baja;Normal;Alta;Baja;Baja
Baja;Alta;Alta;Baja;Baja;Baja
Alta;Alta;Baja;Baja;Alta;Alta
Alta;Alta;Baja;Baja;Alta;Alta
Baja;Normal;Alta;Alta;Normal;Baja
Alta;Alta;Normal;Baja;Alta;Baja
Alta;Baja;Normal;Baja;Normal;Baja
Baja;Baja;Alta;Baja;Alta;Alta
Baja;Normal;Alta;Alta;Baja;Baja
Baja;Baja;Alta;Alta;Baja;Baja
Baja;Alta;Alta;Baja;Alta;Alta
Alta;Baja;Alta;Baja;Alta;Alta
Alta;Baja;Alta;Baja;Alta;Alta
Baja;Baja;Alta;Baja;Baja;Baja
Alta;Baja;Alta;Baja;Normal;Baja
