P21e;P22e;P21-P22e;P32-P13e;P35-P34e;P37-P33e;P38-P33e;P43-P12e;P46-P45e;P47-P44e;P48-P44e;P50-P49e
Ni;N;Ni;Ni;E;Ni;N;Ni;E;Ni;Ni;Ne
Ni;Ne;I;Ni;E;E;E;Ni;E;Ni;Ni;Ne
Ne;N;Ne;Ni;E;Ni;E;Ni;E;E;E;Ne
Ni;E;I;E;E;Ni;E;Ni;E;Ni;Ni;Ne
N;Ne;Ni;E;E;Ni;Ni;Ni;E;E;E;Ne
Ni;N;Ni;E;E;Ni;E;Ni;E;E;E;Ne
N;E;I;Ni;E;E;Ni;E;E;Ni;Ni;Ne
Ni;N;I;Ni;E;E;Ni;E;E;E;E;Ne
N;E;I;Ni;E;Ni;E;Ni;E;Ni;Ni;Ne
N;N;Ni;E;E;Ni;E;E;E;Ni;Ni;Ne
Ni;Ne;I;Ni;E;Ni;E;E;E;Ni;Ni;N
Ni;Ne;I;E;E;E;Ni;Ni;E;E;N;Ne
Ne;E;Ni;Ni;E;Ni;Ni;E;E;Ni;Ni;Ne
Ne;Ne;Ne;Ni;E;N;N;E;E;Ni;Ni;Ne
Ne;Ne;Ne;Ni;E;Ni;Ni;E;E;Ni;Ni;Ne
N;N;Ni;Ni;E;Ni;E;E;E;N;Ni;N
E;Ne;E;Ni;E;E;E;E;E;E;E;Ne
Ni;N;Ni;Ni;E;Ni;Ni;E;E;Ni;Ni;Ne
N;Ne;Ni;Ni;E;N;N;Ni;E;Ni;Ni;E
N;E;I;Ni;E;Ni;Ni;Ni;E;Ni;Ni;E
Ni;Ni;Ni;E;E;E;Ni;Ni;E;Ni;Ni;E
N;E;I;E;Ne;Ni;E;Ni;E;E;E;E
Ni;Ni;N;Ni;E;Ni;Ni;E;E;E;E;E
N;Ni;E;Ni;E;Ni;E;Ni;E;Ni;Ni;E
Ni;I;Ne;Ni;E;E;Ni;E;E;E;E;E
I;Ni;Ni;Ni;E;Ni;E;E;E;Ni;Ni;E
Ni;Ni;Ni;E;E;Ni;Ni;Ni;E;Ni;Ni;E
Ni;E;I;Ni;E;Ni;Ni;Ni;E;E;E;E
I;Ni;Ni;Ni;E;N;N;Ni;E;Ni;Ni;E
Ni;Ni;Ni;E;E;Ni;E;Ni;E;E;E;E
Ni;Ni;N;Ni;E;Ni;E;E;Ne;Ni;Ni;Ne
E;E;Ni;E;E;N;E;Ni;E;N;Ni;E
N;Ne;Ni;Ni;E;E;Ni;E;E;E;E;E
E;Ne;E;Ni;E;E;Ni;E;E;E;E;E
I;N;I;E;E;E;E;Ni;E;E;E;E
I;I;N;Ni;E;Ni;N;E;E;Ni;Ni;E
Ni;N;Ni;Ni;E;E;E;Ni;E;Ni;Ni;E
Ni;E;I;E;E;E;Ni;Ni;E;E;E;E
Ne;Ne;N;E;E;E;Ni;Ni;E;E;E;E
