uuid,type,color,mileage,accesories,capacity,rating,brand,model,year,fuel_type,weight
866ba8c2-438f-4c8f-b653-df1f5c21c185,sedan,Teal,12543,"[""portaequipajes"",""soporte para teléfono"",""kit de emergencia""]",9,3,Ford,Explorer,1997,biofuel,3371.95
1c7dd80d-bdf7-4943-9cbc-bcdce1596f12,minivan,Violet,23034,"[""portaequipajes"",""fundas de asiento"",""cargador de coche"",""kit de herramientas""]",9,3,Buick,Roadmaster,1991,diesel,2749.62
f9fe51ae-c0c1-4dd0-b14f-233fd3c30387,pickup truck,Maroon,30537,"[""phone holder"",""roof rack"",""car charger"",""bluetooth""]",5,4,Lotus,Esprit,2000,electric,2658.37
7ce81b86-3743-497e-8ee3-d74915946ab1,luxury,Green,2139,"[""floor mats""]",4,4,Rolls-Royce,Phantom,2008,hybrid,1539.34
d8ed2fce-04d1-4205-9cc3-156c5c1b9e05,pickup truck,Maroon,30744,"[""seat covers"",""bluetooth""]",7,4,Acura,Vigor,1994,diesel,3732.2
cd107cdd-b494-46ce-8c89-3eb7c78246b5,pickup truck,Purple,30598,"[""floor mats"",""roof rack"",""bluetooth"",""seat covers"",""phone holder""]",8,4,Buick,LeSabre,1985,electric,4354.68
2868cd64-9070-40de-88da-0e84c4d20bd5,minivan,Maroon,16860,"[""car charger"",""bluetooth"",""phone holder"",""seat covers"",""roof rack"",""floor mats""]",5,4,Pontiac,Grand Am,1987,hybrid,2477.67
880d853f-07db-4d9b-80cc-55be61e1d996,pickup truck,Turquoise,49058,"[""floor mats"",""bluetooth"",""car charger"",""phone holder"",""roof rack"",""seat covers""]",7,4,Chevrolet,3500,1996,gasoline,2183.04
8def24db-8e8f-4be0-94f9-55c8d6663403,SUV,Mauv,5698,"[""floor mats"",""bluetooth"",""roof rack"",""car charger""]",6,4,Lexus,LX,1996,diesel,3831.3
45d03691-dac3-4778-a757-50cc08f9a14a,sedan,Green,16347,"[""seat covers"",""phone holder"",""car charger"",""roof rack"",""bluetooth""]",9,4,Mitsubishi,Chariot,1995,gasoline,1394.19
7b7e8b2b-2b79-4e50-9b73-e43643718183,pickup truck,Red,49782,"[""floor mats"",""bluetooth"",""phone holder"",""seat covers""]",5,4,GMC,Sierra 3500HD,2006,electric,1074.63
e2264183-1cd4-45f3-bbae-90b96bb3817c,hatchback,Puce,11727,"[""phone holder"",""seat covers"",""floor mats"",""roof rack"",""car charger"",""bluetooth""]",4,4,Isuzu,Ascender,2005,electric,3307.68
1821f681-ad5b-4fb8-8df2-aa2ca0208682,hatchback,Aquamarine,48082,"[""car charger"",""seat covers""]",5,4,Ford,Econoline E350,1997,gasoline,2769.13
6b3d812d-8a22-4db0-8e5c-8fb9d5903fa8,hatchback,Violet,45042,"[""car charger"",""floor mats"",""bluetooth"",""roof rack"",""seat covers"",""phone holder""]",6,4,Lincoln,Continental,1997,hybrid,2968.78
0f53d4c7-8785-4b5d-8cb5-03ba04fb1b18,minivan,Pink,33585,"[""phone holder"",""car charger"",""seat covers"",""floor mats"",""bluetooth"",""roof rack""]",1,4,GMC,Envoy,2004,electric,1352.52
0ab5b458-a702-4a6f-9d65-a02ae784f723,minivan,Aquamarine,5453,"[""seat covers"",""floor mats""]",4,4,Pontiac,Bonneville,1999,biofuel,1958.04
000eec4d-5c04-49e4-9b1a-c2bfe381223c,luxury,Purple,27459,"[""roof rack"",""bluetooth"",""phone holder"",""seat covers""]",5,4,Dodge,Intrepid,2000,hybrid,3512.16
a5399e30-0faa-4c0a-ad49-5c8d2c5ec1a0,hatchback,Aquamarine,643,"[""roof rack"",""phone holder"",""car charger"",""seat covers"",""bluetooth""]",3,4,Lexus,LS Hybrid,2011,gasoline,4079.06
3afbd062-ba82-4405-907a-74d693691d72,convertible,Violet,42247,"[""roof rack"",""car charger"",""bluetooth"",""floor mats"",""phone holder"",""seat covers""]",4,4,Dodge,Dakota Club,2004,gasoline,2077.31
ce75ad16-4dd0-48dd-ae1a-38dd2b776ec5,hatchback,Teal,1080,"[""car charger"",""bluetooth"",""roof rack"",""phone holder"",""seat covers"",""floor mats""]",3,4,Jaguar,XJ Series,1993,hybrid,4527.21
54ceb62f-816d-46bb-a5c7-4ee1c1e8d536,hatchback,Fuscia,8071,"[""phone holder"",""bluetooth"",""seat covers"",""car charger""]",7,4,Audi,100,1991,gasoline,1285.49
00ca55cb-580e-44f4-8291-f4239a5fff1f,sedan,Pink,32577,"[""car charger""]",1,4,GMC,Safari,2001,biofuel,3252.13
3e641b50-e09b-42c0-b296-bb47f58b67dc,hatchback,Red,8869,"[""floor mats"",""car charger"",""seat covers"",""roof rack"",""phone holder""]",9,4,Dodge,Ram 1500 Club,2000,gasoline,1979.73
7e86cbb2-9252-418b-b321-e86c4b8f5fc3,hatchback,Puce,13447,"[""car charger"",""phone holder""]",4,4,Land Rover,Freelander,2009,gasoline,2795.6
f1d808f1-057a-444f-bb08-75a8629a3fdf,pickup truck,Purple,5432,"[""car charger"",""seat covers"",""floor mats"",""phone holder"",""roof rack""]",6,4,BMW,6 Series,2007,hybrid,3458.03
c453cdcf-fbbb-42a2-ab84-72001610945d,minivan,Red,40916,"[""phone holder"",""car charger"",""floor mats""]",1,4,Dodge,Ram 50,1992,hybrid,1003.37
dcd96a94-4ec5-4763-b182-a0842cf5d742,pickup truck,Fuscia,37031,"[""bluetooth"",""seat covers"",""roof rack"",""phone holder"",""car charger"",""floor mats""]",10,4,Jaguar,XK Series,2004,diesel,2305.29
14aa91a1-f58c-4f05-b665-0e1b8b463147,minivan,Mauv,49679,"[""phone holder""]",9,4,Nissan,Maxima,1993,hybrid,2072.42
af0136f5-9beb-4fa5-b746-e06c3807560f,sedan,Yellow,27191,"[""car charger"",""roof rack"",""phone holder"",""floor mats"",""seat covers"",""bluetooth""]",1,4,Ford,Explorer Sport,2002,gasoline,1103.98
f10a723e-bdb0-4607-9bd0-d1ed11e9c686,pickup truck,Turquoise,4712,"[""car charger"",""phone holder"",""floor mats"",""roof rack""]",8,4,Toyota,Echo,2001,electric,2275.96
534615e6-3ee3-4385-8669-03f39ed33c92,sedan,Maroon,25053,"[""floor mats""]",9,4,Lexus,IS-F,2009,biofuel,1825.94
1bb6898c-3af4-4f95-94f6-192189122431,pickup truck,Violet,15298,"[""phone holder"",""seat covers"",""bluetooth"",""roof rack"",""car charger"",""floor mats""]",9,4,Subaru,XT,1987,electric,4957.67
327a72e2-2185-4ee1-99fd-b4770dc2588d,sedan,Indigo,39964,"[""roof rack"",""seat covers"",""car charger"",""floor mats"",""phone holder"",""bluetooth""]",5,4,Subaru,Impreza WRX,2011,biofuel,1122.86
e01bb4c6-75a8-48d7-bc5f-365b6dcdb45b,minivan,Blue,47450,"[""phone holder"",""seat covers""]",2,4,Toyota,4Runner,2001,hybrid,2987.47
cce49a91-202c-4c0d-925e-8a9359047a89,minivan,Turquoise,19009,"[""roof rack"",""floor mats"",""seat covers"",""car charger"",""bluetooth""]",1,4,Pontiac,Fiero,1984,hybrid,1273.44
c89aaab7-e587-42cd-8dbf-215ba71d794a,hatchback,Red,47342,"[""car charger"",""seat covers"",""roof rack""]",7,4,Volkswagen,Jetta,2008,hybrid,4516.22
7363f242-9d1e-41b2-84d4-0a1c657c6ce4,sedan,Fuscia,32604,"[""phone holder"",""bluetooth"",""roof rack"",""floor mats"",""seat covers""]",7,4,GMC,1500,1997,diesel,4256.93
eae99e5f-0e0e-4f8c-a6b7-9d21bd67df30,SUV,Fuscia,22076,"[""bluetooth"",""car charger"",""floor mats"",""seat covers""]",8,4,Pontiac,Bonneville,1985,electric,1496.17
97e79d81-78ee-4525-9f23-c9991b1036e8,convertible,Indigo,12968,"[""car charger""]",1,4,Land Rover,Range Rover,2008,electric,2415.66
62d0c699-c4f8-486e-b186-7ae6d99d6a54,sedan,Mauv,718,"[""phone holder"",""seat covers"",""car charger"",""floor mats""]",10,4,Saturn,Astra,2008,gasoline,2627.09
8f0a3523-20b6-4046-9163-df49e6d706e8,hatchback,Goldenrod,2957,"[""phone holder"",""car charger""]",8,4,Ford,F250,2007,gasoline,2967.34
195982c6-3a35-4c2f-89d2-d542ee01ef2d,pickup truck,Blue,19937,"[""roof rack"",""phone holder"",""car charger"",""bluetooth"",""seat covers"",""floor mats""]",4,4,Infiniti,G37,2011,electric,3507.88
56cacf5a-14df-4f57-a2e8-be909f2df9c8,minivan,Blue,5245,"[""seat covers"",""roof rack""]",1,4,Aston Martin,DBS,2009,gasoline,1087.68
6085ff92-2537-4c1e-b6b6-ecf04e7d47ba,convertible,Indigo,19816,"[""roof rack"",""phone holder"",""bluetooth""]",10,4,Honda,Fit,2009,diesel,1612.49
2b4c44fb-4899-4e4c-8f30-d6983ac3b551,SUV,Mauv,4828,"[""car charger"",""phone holder""]",2,4,Toyota,Land Cruiser,2002,gasoline,4758.25
f8937abb-1d6f-4efe-87ac-0976d3f2f433,hatchback,Mauv,27079,"[""car charger"",""roof rack"",""phone holder"",""bluetooth"",""seat covers""]",1,4,Chevrolet,G-Series 1500,1996,biofuel,1161.5
41ee359b-29b6-47e0-bb9c-e3cee5613734,sedan,Blue,34657,"[""seat covers"",""phone holder"",""car charger"",""roof rack""]",1,4,Ford,Fusion,2008,hybrid,4796.74
68b2c207-634f-4075-847e-ba11a29a3aa1,sedan,Red,46544,"[""car charger"",""roof rack"",""floor mats"",""phone holder"",""seat covers""]",4,4,GMC,Sierra 3500,2009,hybrid,4450.92
